en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
diem clausit extremum,去世債務人財產官方扣押令狀,2,2,2,-0.0373,0.6326
tag,適當繳費貼,8,3,3,-0.0372,0.5656
Marine Police Base,水警基地,2,2,2,-0.037,0.5599
forge,假冒,5,8,5,-0.0368,0.5395
proprietary,所有權,8,8,8,-0.0368,0.6785
swap,掉期息率,8,8,8,-0.0367,0.6101
unlimited,無限,8,8,8,-0.0365,0.7188
broadcasting,廣播,8,8,8,-0.0365,0.6976
fare,認可車費,8,3,3,-0.0365,0.6337
employed,受僱大律師,8,5,5,-0.0365,0.5726
selectively,選擇性,2,2,2,-0.0362,0.7545
defend,抗辯,8,8,8,-0.0359,0.7151
deliverable state,可交付狀態,3,5,3,-0.0359,0.6554
in force,繼續有效,8,8,8,-0.0359,0.5614
on record,予以記錄,8,8,8,-0.0359,0.6405
serial,編號,8,8,8,-0.0359,0.6541
portable,手提設備,8,5,5,-0.0359,0.7181
addressee,收件人,8,8,8,-0.0356,0.6378
non-distributable,不可分配儲備金,3,3,3,-0.0356,0.4578
Securities and Futures Commission,證券及期貨事務監察委員會,8,8,8,-0.0355,0.7132
hygienist,已登記的牙齒衞生員,5,3,3,-0.0355,0.6075
fixed,固定,8,8,8,-0.0354,0.6573
assistant,助手,8,8,8,-0.035,0.6496
cell,囚室,8,8,8,-0.035,0.6362
tourist,導遊牌照,8,8,8,-0.035,0.4701
temperament,健康狀況及性情,3,2,2,-0.035,0.5719
coverage,保險保障,8,7,7,-0.0348,0.5904
limit,司法管轄權限,8,5,5,-0.0347,0.5011
bonus share,紅股,8,8,8,-0.0342,0.7285
disciplinary,紀律處分程序,8,8,8,-0.0342,0.6686
unexpired,未曾屆滿,8,3,3,-0.0342,0.4808
re-adopted,再受領養,2,2,2,-0.0341,0.5118
pictorial device,圖樣,2,8,2,-0.034,0.6387
downgrade,下調,4,8,4,-0.0339,0.6916
flywheel,飛輪,2,3,2,-0.0339,0.7842
soonest,以最早發生者為準,2,3,2,-0.0339,0.5844
delivery,交付,8,8,8,-0.0338,0.701
warning,警告通知書,8,3,3,-0.0338,0.5734
sublease,分租租約,7,2,2,-0.0337,0.6185
deliver up,交出,8,8,8,-0.0337,0.6716
re-engage,再次聘用,5,8,5,-0.0337,0.5036
on a limited basis,在有限度的基準上,3,3,3,-0.0336,0.5194
left-hand,非左軚車輛,8,4,4,-0.0336,0.6677
stopping place,車隊的士停車處,8,8,8,-0.0336,0.7668
log-book,工作日誌,8,8,8,-0.0335,0.6948
undercharged,少徵收,8,7,7,-0.0335,0.6574
luggage,《1974年海上運輸旅客及其行李雅典公約》,8,2,2,-0.0334,0.5325
password,通行密碼,8,8,8,-0.0334,0.6433
digital,數碼,8,8,8,-0.0332,0.6581
exportation,輸出,8,8,8,-0.033,0.6975
insurable,可保權益,8,8,8,-0.033,0.8114
display,展示,8,8,8,-0.0328,0.6807
different,有重大分別,8,2,2,-0.0328,0.5298
seizure,扣押,8,8,8,-0.0327,0.5836
deficit,赤字,8,2,2,-0.0327,0.4789
broadcast,廣播,8,8,8,-0.0326,0.7295
re-appointment,再委任,8,5,5,-0.0324,0.6861
telegraphic transfer,電匯,3,3,3,-0.0322,0.5126
confine,隔離拘禁,8,7,7,-0.0322,0.587
in-patient,住院病人,8,8,8,-0.0322,0.6675
capable,精神上有能力行事,8,3,3,-0.032,0.5322
start,開始計算,8,8,8,-0.032,0.6679
autrefois acquit,曾就同一罪行獲裁定無罪,2,2,2,-0.0319,0.7203
capability,充足財政能力,8,3,3,-0.0319,0.4907
gate,票閘、欄障或旋轉柵閘,8,4,4,-0.0319,0.7112
peripheral,周邊,4,8,4,-0.0319,0.7161
securities,證券,8,8,8,-0.0318,0.6565
unrestricted,不受限制,8,8,8,-0.0318,0.6053
meddle,竄改,2,8,2,-0.0318,0.45
non-use,沒有使用,6,8,6,-0.0317,0.6801
equip,裝備,8,8,8,-0.0317,0.6069
forgiveness,免除,2,8,2,-0.0317,0.4692
approved,認可格式,8,8,8,-0.0316,0.6772
breath,呼氣測試中心,8,4,4,-0.0316,0.6341
detail,細節,8,8,8,-0.0316,0.6094
continuity,連貫性,8,8,8,-0.0314,0.5019
licensing,發出牌照,8,8,8,-0.0313,0.6788
television,電視直播聯繫,8,7,7,-0.0313,0.6487
communication,通訊,8,8,8,-0.0312,0.795
enforcer,執行人,4,8,4,-0.0312,0.4679
fleet,車隊的士,8,8,8,-0.0311,0.7257
promoter,發起人,8,8,8,-0.0308,0.646
self,免使自己入罪的特權,7,2,2,-0.0308,0.488
implicit,暗示,2,8,2,-0.0307,0.5674
send,發送,8,8,8,-0.0307,0.7016
abide by,堅持,8,8,8,-0.0305,0.5079
licensee,持牌人,8,8,8,-0.0305,0.7708
retention,保留,8,8,8,-0.0305,0.6629
polling,投票站,8,8,8,-0.0305,0.7328
northbound,北向通,4,2,2,-0.0305,0.646
recoverable,可討回,8,2,2,-0.0304,0.5469
sub-underwriting,分包銷,2,7,2,-0.0304,0.6954
partnership,合夥關係,8,3,3,-0.0303,0.6217
end,終止,8,8,8,-0.0302,0.6461
methodology,估值模式或方法,8,2,2,-0.03,0.4895
pre-condition,先決條件,5,8,5,-0.03,0.5403
data,保障資料原則,8,8,8,-0.0299,0.7174
syndic,經理人,2,8,2,-0.0299,0.4914
expend,耗用,8,8,8,-0.0299,0.6002
honorary,榮譽學位,8,8,8,-0.0299,0.5752
instalment,分期,8,8,8,-0.0299,0.6316
completion,完成,8,8,8,-0.0298,0.6234
rentcharge,租費,3,4,3,-0.0298,0.5977
secrecy provision,保密規定,8,3,3,-0.0297,0.7282
articulated,掛接式車輛,8,8,8,-0.0297,0.6353
stated in,述明,8,8,8,-0.0296,0.4545
