en,zh,k_en,k_zh,k_min,cos_BGE-EN-large_vs_BGE-ZH-large,cos_BGE-M3-EN_vs_BGE-M3-ZH
advertisement,宣傳品,8,8,8,-0.0053,0.6592
effluxion,期滿,8,8,8,-0.0053,0.6356
contracting,締約國,8,8,8,-0.0053,0.5912
load,載重線,8,8,8,-0.0053,0.6214
donor,授權人,8,8,8,-0.0053,0.4771
unweighed,未秤載量,3,3,3,-0.0053,0.8015
dramatic,戲劇作品,8,8,8,-0.0052,0.6558
expedition,盡快,8,8,8,-0.0052,0.4859
fraudulently,以欺詐手段,8,8,8,-0.0052,0.611
Merchant Shipping Notice,商船公告,8,8,8,-0.0052,0.7139
non-delivery,無法派遞,4,8,4,-0.0052,0.6722
out of time,逾期,8,8,8,-0.0051,0.6465
re-enter,重回,8,2,2,-0.0051,0.7465
triplicate,一式三份,8,8,8,-0.0051,0.7069
classification,分類,8,8,8,-0.0051,0.6286
explanatory,說明陳述,8,2,2,-0.0051,0.5887
involved,涉及,8,8,8,-0.0051,0.7058
company,公司,8,8,8,-0.005,0.7908
outworker,外發工,4,4,4,-0.005,0.7671
practice,實務,8,8,8,-0.005,0.698
participant,參與者,8,8,8,-0.005,0.6793
participating,參加,8,8,8,-0.005,0.6953
precaution,一切合理預防措施,8,8,8,-0.005,0.6908
troopship,軍隊運輸艦,4,8,4,-0.005,0.6775
salaried,受薪僱員,8,2,2,-0.005,0.5739
benchmark,基準收費,2,2,2,-0.005,0.734
motion,意願,8,8,8,-0.0049,0.6842
tout,兜攬,4,3,3,-0.0049,0.6567
in person,自辯,8,3,3,-0.0048,0.5054
receipt,收到,8,8,8,-0.0048,0.6912
recognized,承認,8,8,8,-0.0048,0.6906
rent,租金,8,8,8,-0.0048,0.6402
binaural,雙耳聽力損失,2,2,2,-0.0048,0.5918
Unified Exchange,聯合交易所,5,8,5,-0.0048,0.6751
listen,監聽,8,2,2,-0.0048,0.6891
inaccuracy,不準確之處,8,8,8,-0.0047,0.5736
postage,郵資,8,8,8,-0.0047,0.7692
state of the art,現有技術,5,5,5,-0.0047,0.8108
regulatees,受規管者,7,8,7,-0.0047,0.6169
Lloyd,勞合社,8,8,8,-0.0047,0.6285
preference,優惠,8,8,8,-0.0046,0.5878
cycle,經濟周期,8,8,8,-0.0046,0.6514
joint venture,聯營者,8,2,2,-0.0046,0.7134
propel,以電力驅動,3,5,3,-0.0046,0.4743
borrower,借款人,8,8,8,-0.0045,0.7476
Customs and Excise warehouse,海關保稅倉,4,4,4,-0.0045,0.713
pass,轉移,8,8,8,-0.0045,0.5945
offensive,令人反感,8,8,8,-0.0045,0.7328
trade,交易,8,8,8,-0.0044,0.5409
remark,論述,3,8,3,-0.0044,0.618
Single Convention on Narcotic Drugs,麻醉品單一公約,3,3,3,-0.0043,0.6414
lender,貸款人,8,8,8,-0.0043,0.6483
marginal note,旁註,2,2,2,-0.0043,0.5547
loiter,遊蕩,8,8,8,-0.0043,0.699
dentistry,合資格牙醫學位,8,4,4,-0.0043,0.71
determination,終止租賃,8,5,5,-0.0042,0.5598
let,出租,8,8,8,-0.0042,0.6851
schedule,一覽表,8,8,8,-0.0042,0.7451
as soon as,盡快,8,8,8,-0.0042,0.7818
vibration,震動,8,8,8,-0.0042,0.6952
bag,塑膠購物袋,8,8,8,-0.0041,0.7026
extract,摘錄,8,8,8,-0.0041,0.7393
periodicals,期刊,8,8,8,-0.0041,0.638
repayable,發還,8,8,8,-0.0041,0.6378
terms of issue,發行條款,5,8,5,-0.0041,0.7201
deferment,延遲,8,8,8,-0.0041,0.7215
Convention on Psychotropic Substances,精神藥物公約,3,5,3,-0.004,0.6866
addition,加稱,8,7,7,-0.0039,0.6283
high seas,公海,6,8,6,-0.0039,0.682
hirer,租用人,8,8,8,-0.0039,0.639
returns,總收益,8,8,8,-0.0039,0.6217
discharge,撤銷,8,8,8,-0.0038,0.6643
discontinuation date,中止日期,6,6,6,-0.0038,0.6033
subpoena duces tecum,着令攜帶文件出庭的傳召出庭令狀,8,6,6,-0.0037,0.5879
execute,執行,8,8,8,-0.0036,0.6094
loan,貸款,8,8,8,-0.0036,0.682
compilation,編製,8,8,8,-0.0036,0.6005
instead of,取代,8,8,8,-0.0036,0.5393
except,另外,8,8,8,-0.0035,0.6416
foster parent,養父母,2,8,2,-0.0035,0.5818
price,價格,8,8,8,-0.0035,0.7221
negligible,微不足道,8,8,8,-0.0035,0.7738
resupply,重新供應,3,3,3,-0.0035,0.7131
avoid,避免,8,8,8,-0.0034,0.7625
interest,利息,8,8,8,-0.0034,0.5736
rainstorm,暴雨警告,8,8,8,-0.0034,0.8086
with a view to,以期,8,8,8,-0.0034,0.539
station,地球站,8,8,8,-0.0033,0.7359
accumulated,累積虧損,8,7,7,-0.0033,0.6886
recreational,康體,8,8,8,-0.0033,0.6831
initiation,提出檢控,8,8,8,-0.0033,0.5091
re-domiciliation,遷冊證明書,8,8,8,-0.0033,0.5041
accrue,形成,8,8,8,-0.0032,0.5476
deponent,宣誓人,8,8,8,-0.0032,0.6943
foreclose,止贖,3,8,3,-0.0032,0.6333
supplementary,增補,8,8,8,-0.0032,0.6716
vice versa,反之亦然,8,3,3,-0.0032,0.5308
convenience,作方便參考之用,8,2,2,-0.0032,0.5776
efficient,性能良好,8,8,8,-0.0032,0.7562
mode,方式,8,8,8,-0.0032,0.5886
supervised,受監管人,8,8,8,-0.0032,0.7063
alight,登上或離開,8,8,8,-0.0032,0.7657
mitigate,寬減,8,8,8,-0.0031,0.5299
nutrient,營養素表,8,7,7,-0.0031,0.7763
reinsurer,再保險人,8,8,8,-0.0031,0.7007
undistributable,不可分派的儲備,2,2,2,-0.0031,0.6898
Postmaster,郵政署署長,8,8,8,-0.0031,0.6246
Companies Register,公司登記冊,8,8,8,-0.003,0.6391
haircut,扣減,8,8,8,-0.003,0.4841
random,隨機,8,8,8,-0.003,0.6128
relocation,遷移,3,8,3,-0.003,0.6973
part-time,全職或非全職,8,8,8,-0.003,0.6175
quit,遷出,8,8,8,-0.0029,0.6652
search,搜查,8,8,8,-0.0029,0.7315
total,完全,8,8,8,-0.0029,0.7242
regulated,管制,8,8,8,-0.0029,0.7195
woodwork,木工機器,4,8,4,-0.0029,0.6334
documented,完備文件記錄,8,2,2,-0.0029,0.5459
under-lease,分租租契,3,6,3,-0.0028,0.5845
munitions,軍火,5,8,5,-0.0028,0.7243
reinvest,再投資,2,8,2,-0.0028,0.6237
sector,金融界,8,4,4,-0.0028,0.6561
obliteration,刪改,8,2,2,-0.0027,0.4859
private,私人,8,8,8,-0.0027,0.6367
erection,架設,8,8,8,-0.0027,0.7544
amount,款額,8,8,8,-0.0026,0.7963
apparel,衣物及寢具,8,2,2,-0.0026,0.6711
finish,裝修物料,7,8,7,-0.0026,0.6018
adoptability,是否可受領養,2,2,2,-0.0025,0.4288
certified copy,核證文本,8,8,8,-0.0025,0.7368
reliability,可靠性,8,8,8,-0.0025,0.7531
related corporation,有連繫法團,8,8,8,-0.0024,0.7564
permanently,永久地,8,8,8,-0.0024,0.6555
whenever,凡有,8,8,8,-0.0024,0.4967
distributable profit,可分派利潤,5,4,4,-0.0023,0.7584
name,別名,8,8,8,-0.0023,0.7238
incumbrancer,產權負擔持有人,2,6,2,-0.0023,0.4254
lose,遺失,8,8,8,-0.0023,0.667
police officer,警務人員,8,8,8,-0.0023,0.7702
sub-lessee,分租承租人,8,6,6,-0.0023,0.7148
illicit,非法,8,8,8,-0.0022,0.6126
reference,提述,8,8,8,-0.0022,0.739
first past the post,“得票最多者當選”投票制,8,8,8,-0.0022,0.699
rely on,依據,8,8,8,-0.0021,0.7274
gamete,配子,5,8,5,-0.0021,0.6773
proposer,提名人,8,8,8,-0.0021,0.7605
in good repair,維修妥善,8,8,8,-0.0021,0.6995
suspended,執行緩刑,8,2,2,-0.0021,0.6323
hedge,對沖,8,8,8,-0.0021,0.6375
borrow,借入,8,8,8,-0.002,0.763
sea,海上貨物運輸,8,7,7,-0.0019,0.6718
effectually,有效,8,8,8,-0.0019,0.5191
occurrence,事故,8,8,8,-0.0019,0.6675
scan,經掃瞄電子簽署,2,8,2,-0.0019,0.4397
faith,誠信,8,8,8,-0.0018,0.6307
recorder,特委法官,8,8,8,-0.0018,0.7247
reward,報酬,8,8,8,-0.0018,0.6932
timeliness,適時性,2,2,2,-0.0018,0.5058
airline,航空公司,8,8,8,-0.0018,0.8006
remains,人類遺骸,8,8,8,-0.0018,0.5443
underlying,基本,8,8,8,-0.0017,0.5883
take effect,有效,8,8,8,-0.0017,0.5544
confiscate,充公,2,8,2,-0.0017,0.7046
extended,延長限期,8,8,8,-0.0017,0.6073
unexpended,未動用結餘,3,3,3,-0.0017,0.5562
amortization,攤還,8,8,8,-0.0016,0.5743
negotiation,商議,8,8,8,-0.0016,0.6229
show flat,示範單位,8,8,8,-0.0016,0.7228
air,航空托運單,8,4,4,-0.0016,0.7123
Secretary-General of the United Nations,聯合國秘書長,2,2,2,-0.0016,0.6927
ignorance,不知情,8,8,8,-0.0016,0.621
joint-stock,合股公司,7,8,7,-0.0016,0.7875
reimburse,償還,8,8,8,-0.0016,0.6175
obedience,遵照,8,8,8,-0.0016,0.6202
expressly,明文,8,8,8,-0.0015,0.6162
intermediary,中介人,8,8,8,-0.0015,0.7485
of right,權利,8,8,8,-0.0015,0.6643
sublet,分租,8,8,8,-0.0015,0.5543
civil war,內戰,6,6,6,-0.0015,0.627
effluent,流出物,8,8,8,-0.0015,0.7062
bailor,委託保管人,8,7,7,-0.0014,0.66
multiple,多重,8,5,5,-0.0014,0.6972
office,職位,8,8,8,-0.0014,0.7226
shareholding,股份持有,8,8,8,-0.0014,0.7059
Defaulter Report,違紀者報告,8,8,8,-0.0014,0.7448
efficiency,效率,8,8,8,-0.0014,0.6447
e-waste,電器廢物,7,7,7,-0.0014,0.7081
interchangeably,相互交替使用,2,2,2,-0.0014,0.5698
servicer,服務者,2,8,2,-0.0014,0.5415
adopted,被領養,8,8,8,-0.0013,0.554
delay,拖延,8,8,8,-0.0013,0.6441
disposition,產權處置,8,8,8,-0.0013,0.688
mercantile agent,商業代理人,8,8,8,-0.0013,0.7441
chargor,押記人,4,8,4,-0.0013,0.6152
situate,位於,8,8,8,-0.0013,0.606
continuing,持續,8,8,8,-0.0012,0.7031
mode of trial,審訊的方式,8,3,3,-0.0012,0.6327
instructing,發出指示的律師,8,5,5,-0.0012,0.6314
intoxicating liquor,令人醺醉的酒類,8,8,8,-0.0012,0.8035
restraining,限制令,8,8,8,-0.0012,0.645
commission,佣金,8,8,8,-0.0011,0.703
sequestrator,暫時扣押人,8,8,8,-0.0011,0.63
collector,預定收集者,8,2,2,-0.0011,0.5213
compile,編彙,8,5,5,-0.0011,0.5422
loss-absorbing,吸收虧損能力,8,8,8,-0.0011,0.7028
insured,受保,8,8,8,-0.001,0.7513
member,住戶成員,8,4,4,-0.001,0.6966
audiometric,聽力測量試驗,3,2,2,-0.001,0.5778
hostilities,敵對行為,8,5,5,-0.001,0.6514
subject matter,對象事宜,8,5,5,-0.001,0.5362
misuse,不當使用,8,8,8,-0.0009,0.6237
code,守則,8,8,8,-0.0008,0.7908
interruption,中斷,8,8,8,-0.0008,0.7415
black rainstorm warning,黑色暴雨警告,8,8,8,-0.0008,0.8201
come,出庭,8,8,8,-0.0008,0.6158
Government Rent Roll,地租登記冊,8,8,8,-0.0008,0.7043
reduction,扣減,8,8,8,-0.0008,0.6394
sequence,先後次序,8,8,8,-0.0008,0.7318
company service,信託或公司服務業務,8,8,8,-0.0008,0.7993
flow,現金流,8,8,8,-0.0008,0.657
funded party,受資助方,3,4,3,-0.0008,0.735
poll,投票,8,8,8,-0.0007,0.6597
turpitude,卑劣行為,3,3,3,-0.0007,0.6612
pollution,污染損害,8,8,8,-0.0007,0.7353
damaged,破損,8,8,8,-0.0007,0.7203
depend,未審決,8,3,3,-0.0007,0.5398
prompt,即時行動,8,3,3,-0.0007,0.5606
in obedience to,遵照,8,8,8,-0.0006,0.577
maintain,供養,8,8,8,-0.0006,0.6082
microfilm,微縮膠片,8,6,6,-0.0006,0.6352
film,電影檢查監督,8,2,2,-0.0006,0.6302
examine,訊問,8,8,8,-0.0005,0.6901
defaulted,違責,8,8,8,-0.0005,0.5782
disease,精神病,8,8,8,-0.0005,0.6841
wrong-way,一般錯向風險,6,3,3,-0.0005,0.6333
according,依法,8,8,8,-0.0005,0.6197
lawful,合法,8,8,8,-0.0004,0.7815
contingency,或有事件,8,7,7,-0.0004,0.6173
dentist,註冊牙醫,8,8,8,-0.0004,0.7885
adjusted liabilities,經調整負債,2,2,2,-0.0003,0.7364
protection,保護,8,8,8,-0.0003,0.7804
wear and tear,損耗,8,8,8,-0.0003,0.5213
airship,飛船,6,3,3,-0.0003,0.6334
canvassing,禁止拉票區,8,8,8,-0.0003,0.6219
defeasible,可予廢除,6,4,4,-0.0003,0.4852
Government Printer,政府印務局,8,8,8,-0.0003,0.7934
later,兩者以較後者為準,8,8,8,-0.0003,0.7466
steal,偷竊,4,8,4,-0.0003,0.711
storage,貯存,8,8,8,-0.0003,0.7651
ships,軍用船舶,8,5,5,-0.0003,0.7502
metal,貴金屬及寶石業務,8,8,8,-0.0003,0.5855
insurer,保險人,8,8,8,-0.0002,0.7262
option,期權,8,8,8,-0.0002,0.6696
without recourse,無追索權,5,4,4,-0.0002,0.6561
countersign,加簽,8,8,8,-0.0002,0.6346
step,合理步驟,8,8,8,-0.0002,0.5433
franchised,專利巴士,8,8,8,-0.0001,0.6955
conflict,抵觸,8,8,8,-0.0001,0.5692
force majeure,不可抗力,3,3,3,-0.0001,0.7361
disabled,傷殘人士,8,8,8,-0.0001,0.6728
quote,報價,2,8,2,-0.0001,0.5252
wind up,清盤,8,8,8,-0.0001,0.6253
franchise,專營,8,8,8,-0.0,0.7014
lay-off,停工,3,8,3,0.0,0.5945
short,以短時間的通知,8,2,2,0.0,0.6691
uncertified,未經核證,8,8,8,-0.0,0.6822
visible,可見,8,8,8,0.0,0.7013
corrosive,腐蝕性物質,8,4,4,0.0,0.7233
annually,可按年續期,8,5,5,-0.0,0.5243
deceit,欺騙,3,8,3,0.0001,0.7289
gender,性別,8,8,8,0.0001,0.6271
inquiry,研訊,8,8,8,0.0001,0.6069
pawn,典當,8,2,2,0.0001,0.5126
International Electrotechnical Commission,國際電工委員會,3,4,3,0.0001,0.7665
cruelty,殘酷對待動物,8,6,6,0.0002,0.7325
due diligence,應盡的努力,8,8,8,0.0002,0.6141
preservation,保存,8,8,8,0.0002,0.7457
subsidize,津貼,2,8,2,0.0002,0.5601
informant; informer,告發人,8,8,8,0.0003,0.6479
weight,分量,8,8,8,0.0003,0.7425
at all times,一直,8,8,8,0.0003,0.5962
auxiliary,輔助設備,8,8,8,0.0003,0.6151
intimation,提示,8,8,8,0.0003,0.6509
significantly,明顯,8,8,8,0.0003,0.6059
commodity trading,商品交易顧問,8,8,8,0.0003,0.5697
disturbance,妨礙,8,8,8,0.0004,0.7073
entry,入境,8,8,8,0.0004,0.6788
cross-product,有效跨產品淨額結算協議,4,4,4,0.0004,0.7509
donatio,贈與,4,2,2,0.0005,0.4993
supporting material,佐證材料,3,3,3,0.0005,0.4644
antioxidant,抗氧化劑,8,8,8,0.0005,0.8128
diagnosis,診斷,8,8,8,0.0005,0.7504
disturb,行為紊亂,8,2,2,0.0005,0.6694
gear,用具,8,8,8,0.0005,0.619
seize,扣押,8,8,8,0.0006,0.7211
both,兩者兼備,8,5,5,0.0006,0.6204
interdiction,停職,8,8,8,0.0006,0.6964
month,整月,8,8,8,0.0006,0.7208
reclaim,索回,2,8,2,0.0006,0.6129
minority,少數,8,8,8,0.0007,0.672
pari passu,享有同等權益,6,5,5,0.0007,0.5615
connected company,有連繫公司,2,2,2,0.0007,0.6774
borrowed,被借用證券,8,3,3,0.0007,0.7689
clarification,澄清,8,8,8,0.0007,0.7116
interest-bearing,有利息的戶口,8,3,3,0.0007,0.6387
quoted,報價,8,8,8,0.0007,0.6108
provocation,激怒,2,6,2,0.0007,0.6396
alias; alias dictus,別名,7,8,7,0.0008,0.7452
transferor,出讓人,8,8,8,0.0008,0.602
alias,別名,7,8,7,0.0008,0.7452
secrecy,保密誓言,8,5,5,0.0008,0.75
General,郵政署署長,8,8,8,0.0008,0.6581
adoptive parent,領養父母,8,8,8,0.0009,0.7466
parent,父母,8,8,8,0.0009,0.6579
underlying shares,相關股份,8,8,8,0.0009,0.6771
analysis,分析或化驗,8,4,4,0.0009,0.6841
definite,限定期間,8,2,2,0.0009,0.635
hindrance,阻礙,8,8,8,0.0009,0.693
window,緊急窗口,8,2,2,0.0009,0.6996
petrol,汽油,8,8,8,0.0009,0.7543
confiscation,沒收令,8,8,8,0.001,0.6586
fax,傳真,8,8,8,0.001,0.6633
dimension,尺寸,8,8,8,0.001,0.7637
in-house,機構內部,5,7,5,0.0011,0.5552
irredeemable,不可贖回,2,3,2,0.0011,0.5646
non-application,不予運用,7,6,6,0.0011,0.5743
non-fulfilment,不履行,4,8,4,0.0011,0.5776
accreditation,評審,8,8,8,0.0012,0.6848
legal,合法,8,8,8,0.0012,0.6216
house,房屋,8,8,8,0.0012,0.65
revise,調整,8,8,8,0.0012,0.5594
diplomat,外交官,2,8,2,0.0013,0.5154
forged,假冒,8,8,8,0.0013,0.665
mark,標記,8,8,8,0.0013,0.7074
"Agriculture, Fisheries and Conservation Department",漁農自然護理署,8,8,8,0.0013,0.7024
derecognize,被撤銷確認,2,8,2,0.0013,0.5809
gale,烈風警告,8,8,8,0.0013,0.7877
inconvenience,不便,8,8,8,0.0013,0.7758
one,在任何時間,8,8,8,0.0013,0.7699
printed,合訂印本,8,2,2,0.0013,0.6754
primitive,構造簡單,8,8,8,0.0013,0.6538
adjourn,延期,8,8,8,0.0014,0.6007
default,不履行,8,8,8,0.0014,0.6666
explicit,明示,8,8,8,0.0014,0.5765
inadvertent,無心,8,8,8,0.0014,0.6258
monetizable,輕易地套現,5,2,2,0.0014,0.7064
impact,影響評估,8,8,8,0.0014,0.6211
preferential,優先,8,8,8,0.0015,0.6259
adoptive,領養父母,8,8,8,0.0015,0.7207
attesting,見證人,8,8,8,0.0015,0.7284
passport,護照,8,8,8,0.0015,0.7631
bereavement,親屬喪亡之痛,5,5,5,0.0016,0.6842
subcontract,分包合約,7,4,4,0.0016,0.7246
charging,押記令,8,8,8,0.0016,0.619
distrain,扣押,5,8,5,0.0017,0.6993
pari-mutuel,彩池投注,7,7,7,0.0017,0.8179
test,檢驗,8,8,8,0.0018,0.7907
hourly,每小時收費率,8,6,6,0.0018,0.5938
nil,免收地價,8,3,3,0.0018,0.5101
possessory,管有業權,8,7,7,0.0018,0.5606
wrecked,遇事毀壞,6,6,6,0.0018,0.6397
funds,資助金,8,8,8,0.0018,0.6242
flame,無遮蓋火焰,8,8,8,0.0018,0.7862
exercise,實行,8,8,8,0.0019,0.6828
extend,伸延,8,8,8,0.0019,0.6869
redenomination,幣值重訂,3,3,3,0.0019,0.7402
carry,附有,8,8,8,0.0019,0.7195
intermittent,斷續,8,3,3,0.0019,0.6587
wind down,縮減規模,2,2,2,0.0019,0.6833
netting,淨額結算安排,8,6,6,0.0019,0.5759
chancellor,司法官,8,2,2,0.002,0.5842
fact,因此事實,8,6,6,0.002,0.5117
bookmaker,收受賭注者,4,4,4,0.002,0.6663
expel,驅逐,5,8,5,0.002,0.7012
firearm,火器,8,8,8,0.002,0.6597
smuggling,走私,6,6,6,0.002,0.7591
orchestra,管弦樂隊升降機,2,2,2,0.002,0.6619
hearing,編定聆訊日期,8,8,8,0.0021,0.5289
liability,債務,8,8,8,0.0021,0.7207
secure,作保,8,8,8,0.0021,0.6823
outer,外層空間,8,2,2,0.0021,0.5535
contracted,立約數額,8,8,8,0.0021,0.6283
Authority,電訊管理局局長,8,2,2,0.0021,0.59
meter,聲級計,8,2,2,0.0021,0.5075
abode,居籍,8,8,8,0.0022,0.6069
insolvent,無力償債,8,8,8,0.0022,0.7348
render,作出,8,8,8,0.0022,0.6049
structured product,結構性產品,8,8,8,0.0022,0.7963
landing,層站,8,6,6,0.0022,0.5918
play,播放,8,8,8,0.0022,0.6677
tear,損耗,8,8,8,0.0022,0.5499
unexpected,突發,8,8,8,0.0022,0.6177
non-Hong Kong,非香港有限責任合夥,8,3,3,0.0022,0.5001
elsewhere,香港以外的任何地方,8,8,8,0.0022,0.685
identity card,永久性居民身分證,8,8,8,0.0023,0.6836
pursue,繼續進行,8,8,8,0.0023,0.6761
scope,權限範圍,8,5,5,0.0023,0.6351
stability,穩定,8,8,8,0.0023,0.7301
synthetic,合成持有,8,8,8,0.0023,0.5773
final,最後,8,8,8,0.0024,0.6315
set aside,作廢,8,8,8,0.0024,0.6521
correction,改正,8,8,8,0.0024,0.6771
counting,點票制度,8,8,8,0.0024,0.7366
post-mortem,驗屍,8,4,4,0.0024,0.7462
copy,副本,8,8,8,0.0025,0.809
sign,簽署,8,8,8,0.0025,0.7995
datum,基準面,8,6,6,0.0025,0.6752
section,公眾人士或部分公眾人士,8,8,8,0.0025,0.6969
gain,圖利,8,8,8,0.0026,0.7359
good,妥善,8,8,8,0.0026,0.688
composition,組成,8,8,8,0.0026,0.6764
fraction,部分,8,8,8,0.0026,0.5859
intelligence,消息,8,8,8,0.0026,0.6076
kind,品類,8,8,8,0.0026,0.6277
odds,固定賠率投注,7,7,7,0.0026,0.8399
retract,取消,2,8,2,0.0027,0.4644
deportation,遞解離境,8,8,8,0.0027,0.7488
like,同樣,8,8,8,0.0027,0.7386
adjust,經按比例調整,8,2,2,0.0027,0.4359
deviation,差異,8,8,8,0.0028,0.6354
proceedings,訴訟通知,8,8,8,0.0028,0.6273
working,工作,8,8,8,0.0028,0.7275
advertise,刊登,8,8,8,0.0028,0.5782
parties,有利害關係的各方,8,8,8,0.0028,0.6228
relieve,免除,8,8,8,0.0028,0.6834
discontinued election,已中止的選舉,8,8,8,0.0028,0.7672
third,第三者,8,8,8,0.0028,0.6388
current,流通,8,8,8,0.0029,0.6683
despatch,派遣,8,8,8,0.0029,0.6462
neutral,無利害關係,8,2,2,0.0029,0.5657
renewal,更新,8,8,8,0.0029,0.6943
promulgate,公布,6,8,6,0.0029,0.7254
transparency,透明度,5,6,5,0.0029,0.7859
contingent,待確定,8,8,8,0.003,0.5696
manifest,運貨單,8,5,5,0.003,0.6173
observance,遵守,8,8,8,0.003,0.7311
indemnification,彌償,7,8,7,0.003,0.7134
until,除非與直至,8,8,8,0.003,0.6531
match,配對,8,8,8,0.003,0.6308
timely; timeously,及時,8,8,8,0.0031,0.6641
director,董事,8,8,8,0.0032,0.689
Unified Exchange Compensation Fund,聯交所賠償基金,2,2,2,0.0032,0.6677
inventor,共同發明人,8,7,7,0.0032,0.5732
revested,重新轉歸,2,3,2,0.0032,0.3987
advance,墊付款項,8,5,5,0.0033,0.5441
consent,同意,8,8,8,0.0033,0.7494
title,簡稱,8,8,8,0.0033,0.6859
conversation,任何對話的大意,7,4,4,0.0033,0.5132
demotion,降級,3,8,3,0.0033,0.5763
verify,核實,8,8,8,0.0033,0.7981
constituent fund,成分基金,8,8,8,0.0033,0.793
practicable,切實可行,8,8,8,0.0034,0.7467
warranty,保證,8,8,8,0.0034,0.7114
holding company,控權公司,8,8,8,0.0034,0.7074
waters,領海,8,8,8,0.0034,0.7061
contrivance,手段,8,8,8,0.0034,0.6639
engineering,認可工程標準,8,6,6,0.0034,0.6226
enrolled,登記護士,8,8,8,0.0034,0.6681
inhibit,限制,8,8,8,0.0034,0.6339
frustration,受挫失效,3,5,3,0.0035,0.6661
in trust,以信託形式,8,8,8,0.0035,0.6102
carrying,帳面價值,8,8,8,0.0035,0.4912
customer,客戶盡職審查措施,8,2,2,0.0035,0.6179
entrant,未獲授權進境者,6,7,6,0.0035,0.7462
impractical,不切實際,8,5,5,0.0035,0.6233
plurality,多數票,2,8,2,0.0035,0.6504
preparation,製劑,8,8,8,0.0035,0.6036
parameter,適用範圍,8,8,8,0.0035,0.5484
affirm,維持,8,8,8,0.0036,0.6504
commutation,互換,8,8,8,0.0036,0.7001
inquisition,查訊,4,8,4,0.0036,0.5954
in consequence of,由於,8,8,8,0.0036,0.7268
mind,精神病,8,8,8,0.0036,0.692
water-front,公眾海旁,8,8,8,0.0036,0.7888
detach,除下,8,8,8,0.0036,0.6571
annuity,年金,8,8,8,0.0037,0.6247
limit of stay,逗留期限,8,8,8,0.0037,0.7891
infant formula,嬰兒配方產品,7,7,7,0.0037,0.7379
mix,混有,8,4,4,0.0037,0.5641
obscure,被掩蔽,8,3,3,0.0037,0.7011
provable,可予證明,8,3,3,0.0037,0.7229
under-lessee,承轉租人,6,2,2,0.0037,0.4158
roll,名冊,8,8,8,0.0038,0.6863
alcohol,神智不清,8,8,8,0.0038,0.643
betting,固定賠率投注,8,7,7,0.0038,0.7704
unified,統一,8,8,8,0.0038,0.7328
doubtful,呆帳,8,8,8,0.0038,0.5779
agreement,協定,8,8,8,0.0039,0.7956
allocation,分配,8,8,8,0.0039,0.6983
unit,單位,8,8,8,0.0039,0.6745
utility,公用事業,8,8,8,0.0039,0.6991
competence,能力,8,8,8,0.0039,0.7706
nursing,護理院,8,6,6,0.0039,0.6437
precautionary,防範措施,8,8,8,0.0039,0.651
affiliated,相關聯,8,2,2,0.004,0.6696
intergovernmental,政府間組織,5,4,4,0.004,0.7403
bonded,一般保稅倉,8,8,8,0.004,0.731
Chief Superintendent,總警司,6,8,6,0.004,0.702
script,遺囑性質的文稿,8,2,2,0.004,0.5642
liquefiable,流動資產,8,8,8,0.004,0.7436
reversionary,復歸,5,8,5,0.0041,0.6558
undated,沒有註明日期,3,4,3,0.0041,0.4899
accede,允許,6,8,6,0.0041,0.64
cent,不足一仙之數,8,3,3,0.0041,0.5888
written consent,同意書,8,8,8,0.0041,0.7014
bond,保證金,8,8,8,0.0042,0.6248
just,公正,8,8,8,0.0042,0.5382
revoke,撤回,8,8,8,0.0042,0.6694
transfer,移交,8,8,8,0.0042,0.6916
unsettled,未決,8,8,8,0.0042,0.4893
communicate,傳達,8,8,8,0.0042,0.6378
obstruct,妨礙,8,8,8,0.0042,0.7048
re-enact,再制定,2,5,2,0.0042,0.5666
in pursuance of,依據,8,8,8,0.0043,0.6416
principal,主要,8,8,8,0.0043,0.5445
dwelling,住宅,8,8,8,0.0043,0.7419
fireworks,爆竹煙花製品,8,7,7,0.0043,0.7368
former,原擁有人,8,8,8,0.0043,0.6222
illness,精神病,8,8,8,0.0043,0.6504
refund,付還,8,8,8,0.0043,0.6832
bottomry,船舶抵押借款,4,4,4,0.0044,0.5125
layout,布局,8,8,8,0.0044,0.6241
locality,地區,8,8,8,0.0044,0.601
quantity,大量,8,8,8,0.0044,0.7566
re,物,4,8,4,0.0045,0.6233
non-intimate,非體內樣本,7,7,7,0.0045,0.8123
reproduction,複製本,8,8,8,0.0045,0.6632
writing,文字,8,8,8,0.0045,0.7086
delegation,委派,8,8,8,0.0046,0.6545
ill-health,健康欠佳,7,8,7,0.0046,0.6594
commodity exchange,商品交易所,8,8,8,0.0046,0.7621
foregoing,上文,8,8,8,0.0047,0.5002
pari,同樣,8,8,8,0.0047,0.5641
median,中位數,2,5,2,0.0047,0.4001
loss,喪失,8,8,8,0.0048,0.6589
availability,可用性,8,2,2,0.0048,0.6254
completeness,設備的有效性或完備性,8,4,4,0.0048,0.3996
enrolment,取錄,8,8,8,0.0048,0.7304
forfaiting,應收帳承購,3,3,3,0.0048,0.5001
outlet,零售店,8,3,3,0.0048,0.6259
veterinary,獸醫官,8,8,8,0.0048,0.6598
politically,政治人物,4,4,4,0.0048,0.7474
false,虛假,8,8,8,0.0049,0.7539
management,管理,8,8,8,0.0049,0.7416
